carrier_name,total_flights,total_delays,total_delayed_min,pct_delayed,avg_delayed_min
Allegiant Air,444689,98516,13851776,22.15,140.6
Endeavor Air Inc.,1162991,153550,22720226,13.2,147.97
PSA Airlines Inc.,1041948,181687,24736958,17.44,136.15
ExpressJet Airlines Inc.,3706146,789149,108351148,21.29,137.3
Envoy Air,1742835,334735,40297970,19.21,120.39
Hawaiian Airlines Inc.,727452,68130,5818604,9.37,85.4
Delta Air Lines Inc.,8337975,1114466,142200745,13.37,127.6
JetBlue Airways,2419012,570661,77767060,23.59,136.28
United Air Lines Inc.,5203057,978657,128611174,18.81,131.42
US Airways Inc.,1354463,224129,21436366,16.55,95.64
ExpressJet Airlines LLC,149234,29672,4975718,19.88,167.69
Southwest Airlines Co.,12161004,2286301,228223430,18.8,99.82
Frontier Airlines Inc.,1029026,238933,31483302,23.22,131.77
Virgin America,381109,78927,9648522,20.71,122.25
American Eagle Airlines Inc.,939872,196175,24079290,20.87,122.74
Mesa Airlines Inc.,1021995,186453,27632042,18.24,148.2
Alaska Airlines Inc.,1864310,274363,26513674,14.72,96.64
Pinnacle Airlines Inc.,176751,33613,4315300,19.02,128.38
American Airlines Inc.,7358107,1378722,173031532,18.74,125.5
AirTran Airways Corporation,429740,69578,7262400,16.19,104.38
Republic Airline,1280036,198459,26383302,15.5,132.94
Spirit Air Lines,1152921,231280,30832382,20.06,133.31
SkyWest Airlines Inc.,6802817,1161855,166105488,17.08,142.97
Horizon Air,134647,18114,1793968,13.45,99.04
