year,carrier,carrier_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,pct_delayed,avg_delayed_min,avg_delayed_flight
2012,FL,AirTran Airways Corporation,177928,22231,4673,167,9107,0,8284,1294,357,1175778,246669,9035,384504,0,535570,12.49,52.89,6.61
2013,FL,AirTran Airways Corporation,172317,33829,8328,609,11789,0,13103,1321,289,1776810,384780,44320,486560,0,861150,19.63,52.52,10.31
2014,FL,AirTran Airways Corporation,79495,13518,3760,328,4317,0,5112,1516,161,678612,166873,20783,168921,0,322035,17.0,50.2,8.54
2012,AS,Alaska Airlines Inc.,125392,13791,3881,337,5213,76,4283,746,356,711136,236282,23780,185979,3007,262088,11.0,51.57,5.67
2013,AS,Alaska Airlines Inc.,154743,18796,4570,498,8607,143,4978,704,362,848473,256638,32302,270987,5875,282671,12.15,45.14,5.48
2014,AS,Alaska Airlines Inc.,160257,20975,5090,511,9111,111,6152,759,443,989491,289072,33869,304865,3943,357742,13.09,47.17,6.17
2015,AS,Alaska Airlines Inc.,172521,22352,6009,562,9048,163,6569,669,413,1074977,347425,38832,301478,5825,381417,12.96,48.09,6.23
2016,AS,Alaska Airlines Inc.,177280,21196,5140,461,9939,154,5501,815,452,996624,292807,33228,345528,4943,320118,11.96,47.02,5.62
2017,AS,Alaska Airlines Inc.,185068,30276,6830,650,14387,200,8209,1508,504,1454555,393069,55032,521631,7665,477158,16.36,48.04,7.86
2018,AS,Alaska Airlines Inc.,245761,40272,9059,601,20484,197,9932,2207,575,1942070,539827,48169,785740,7383,560951,16.39,48.22,7.9
2019,AS,Alaska Airlines Inc.,264816,48359,10954,869,21888,199,14448,3077,724,2513758,682087,72947,884600,6916,867208,18.26,51.98,9.49
2020,AS,Alaska Airlines Inc.,138226,15181,4162,376,6474,215,3953,5481,279,726076,248862,24310,210203,7467,235234,10.98,47.83,5.25
2021,AS,Alaska Airlines Inc.,188955,31835,9432,750,12839,388,8426,3217,432,1527982,529056,68981,432507,15106,482332,16.85,48.0,8.09
2022,AS,Alaska Airlines Inc.,51291,9428,3028,208,3475,57,2660,1759,144,471695,173824,15812,119068,2330,160661,18.38,50.03,9.2
2018,G4,Allegiant Air,96071,21196,6298,1056,4886,96,8860,769,260,1563342,580598,88629,222706,3479,667930,22.06,73.76,16.27
2019,G4,Allegiant Air,105132,21491,5693,1528,5284,102,8884,623,238,1503593,542810,120185,223116,3752,613730,20.44,69.96,14.3
2020,G4,Allegiant Air,98453,13429,3851,937,3468,73,5100,14285,499,1042359,397318,76390,196863,2501,369287,13.64,77.62,10.59
2021,G4,Allegiant Air,115881,32707,8570,1540,8180,237,14181,3829,250,2235514,717637,127957,384523,13177,992220,28.22,68.35,19.29
2022,G4,Allegiant Air,29152,9157,2319,306,2664,27,3841,1850,58,581080,167239,31676,126275,951,254939,31.41,63.46,19.93
2012,AA,American Airlines Inc.,433695,96432,30601,3909,31106,96,30721,8335,1604,5520689,1842524,313236,1254787,3611,2106531,22.23,57.25,12.73
2013,AA,American Airlines Inc.,531415,107546,30712,4580,32091,87,40076,9718,1767,6287044,1894959,337356,1394323,6384,2654022,20.24,58.46,11.83
2014,AA,American Airlines Inc.,531688,118450,33721,4701,37692,96,42239,8433,1945,7062537,2167208,400951,1618738,4186,2871454,22.28,59.62,13.28
2015,AA,American Airlines Inc.,718758,128425,41626,5231,41877,379,39311,10879,2114,7727441,2705059,462153,1742039,15808,2802382,17.87,60.17,10.75
2016,AA,American Airlines Inc.,905340,173396,52704,5714,61213,476,53288,10793,2195,10585997,3572661,544798,2621984,21635,3824919,19.15,61.05,11.69
2017,AA,American Airlines Inc.,888641,160479,47073,4581,59346,421,49059,11797,1979,9667057,3147985,403530,2552366,22681,3540495,18.06,60.24,10.88
2018,AA,American Airlines Inc.,910757,179279,54634,7033,60055,359,57198,14921,2340,11239893,3692136,638736,2657717,22227,4229077,19.68,62.69,12.34
2019,AA,American Airlines Inc.,940913,193928,59122,6480,59957,366,68002,20132,2373,13019884,4324154,631941,2868459,18996,5176334,20.61,67.14,13.84
2020,AA,American Airlines Inc.,565055,59040,21951,2122,20432,298,14237,34118,930,3731777,1634989,185277,764706,12759,1134046,10.45,63.21,6.6
2021,AA,American Airlines Inc.,728229,123386,47433,5183,30679,767,39324,16404,2079,9190991,3775609,527054,1412279,35044,3441005,16.94,74.49,12.62
2022,AA,American Airlines Inc.,203616,34849,12775,1018,10431,167,10459,9036,384,2482456,1066009,113901,430380,6678,865488,17.12,71.23,12.19
2012,MQ,American Eagle Airlines Inc.,400018,65072,17897,4532,19040,34,23569,8623,985,3920530,1279161,391928,862498,1907,1385036,16.27,60.25,9.8
2013,MQ,American Eagle Airlines Inc.,439865,105983,23535,7911,31810,35,42693,15701,1026,6576260,1716605,643256,1577059,2348,2636992,24.09,62.05,14.95
2014,MQ,American Eagle Airlines Inc.,99989,25045,5626,1864,8646,4,8905,8358,264,1542855,390147,161617,421365,154,569572,25.05,61.6,15.43
2012,DL,Delta Air Lines Inc.,616787,80382,24888,1931,29606,28,23929,3242,1114,4500411,1717134,154189,1185775,1567,1441746,13.03,55.99,7.3
2013,DL,Delta Air Lines Inc.,751224,112682,37419,3436,41364,74,30388,2430,1332,6613140,2681013,332946,1743998,7758,1847425,15.0,58.69,8.8
2014,DL,Delta Air Lines Inc.,796207,121828,39173,5393,43924,42,33297,6471,1369,6930890,2680103,492902,1823252,3556,1931077,15.3,56.89,8.7
2015,DL,Delta Air Lines Inc.,871543,117397,38300,6259,39382,49,33407,3799,1772,7196480,2693234,597091,1769986,3769,2132400,13.47,61.3,8.26
2016,DL,Delta Air Lines Inc.,918382,118414,40547,4990,38900,93,33884,4103,1733,8131248,3351074,488155,1854695,5782,2431542,12.89,68.67,8.85
2017,DL,Delta Air Lines Inc.,919971,123588,40304,6373,42558,120,34233,8853,1803,8746671,3268116,725212,2301699,8220,2443424,13.43,70.77,9.51
