year,carrier,carrier_name,total_flights,total_delays,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,total_delayed_min,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,pct_delayed,avg_delayed_min,avg_delayed_flight
2012,AS,Alaska Airlines Inc.,125392,13791,3881,337,5213,76,4283,746,356,711136,236282,23780,185979,3007,262088,11.0,51.57,5.67
2013,AS,Alaska Airlines Inc.,154743,18796,4570,498,8607,143,4978,704,362,848473,256638,32302,270987,5875,282671,12.15,45.14,5.48
2014,AS,Alaska Airlines Inc.,160257,20975,5090,511,9111,111,6152,759,443,989491,289072,33869,304865,3943,357742,13.09,47.17,6.17
2015,AS,Alaska Airlines Inc.,172521,22352,6009,562,9048,163,6569,669,413,1074977,347425,38832,301478,5825,381417,12.96,48.09,6.23
2016,AS,Alaska Airlines Inc.,177280,21196,5140,461,9939,154,5501,815,452,996624,292807,33228,345528,4943,320118,11.96,47.02,5.62
2017,AS,Alaska Airlines Inc.,185068,30276,6830,650,14387,200,8209,1508,504,1454555,393069,55032,521631,7665,477158,16.36,48.04,7.86
2018,AS,Alaska Airlines Inc.,245761,40272,9059,601,20484,197,9932,2207,575,1942070,539827,48169,785740,7383,560951,16.39,48.22,7.9
2019,AS,Alaska Airlines Inc.,264816,48359,10954,869,21888,199,14448,3077,724,2513758,682087,72947,884600,6916,867208,18.26,51.98,9.49
2020,AS,Alaska Airlines Inc.,138226,15181,4162,376,6474,215,3953,5481,279,726076,248862,24310,210203,7467,235234,10.98,47.83,5.25
2021,AS,Alaska Airlines Inc.,188955,31835,9432,750,12839,388,8426,3217,432,1527982,529056,68981,432507,15106,482332,16.85,48.0,8.09
2022,AS,Alaska Airlines Inc.,51291,9428,3028,208,3475,57,2660,1759,144,471695,173824,15812,119068,2330,160661,18.38,50.03,9.2
2012,AA,American Airlines Inc.,433695,96432,30601,3909,31106,96,30721,8335,1604,5520689,1842524,313236,1254787,3611,2106531,22.23,57.25,12.73
2013,AA,American Airlines Inc.,531415,107546,30712,4580,32091,87,40076,9718,1767,6287044,1894959,337356,1394323,6384,2654022,20.24,58.46,11.83
2014,AA,American Airlines Inc.,531688,118450,33721,4701,37692,96,42239,8433,1945,7062537,2167208,400951,1618738,4186,2871454,22.28,59.62,13.28
2015,AA,American Airlines Inc.,718758,128425,41626,5231,41877,379,39311,10879,2114,7727441,2705059,462153,1742039,15808,2802382,17.87,60.17,10.75
2016,AA,American Airlines Inc.,905340,173396,52704,5714,61213,476,53288,10793,2195,10585997,3572661,544798,2621984,21635,3824919,19.15,61.05,11.69
2017,AA,American Airlines Inc.,888641,160479,47073,4581,59346,421,49059,11797,1979,9667057,3147985,403530,2552366,22681,3540495,18.06,60.24,10.88
2018,AA,American Airlines Inc.,910757,179279,54634,7033,60055,359,57198,14921,2340,11239893,3692136,638736,2657717,22227,4229077,19.68,62.69,12.34
2019,AA,American Airlines Inc.,940913,193928,59122,6480,59957,366,68002,20132,2373,13019884,4324154,631941,2868459,18996,5176334,20.61,67.14,13.84
2020,AA,American Airlines Inc.,565055,59040,21951,2122,20432,298,14237,34118,930,3731777,1634989,185277,764706,12759,1134046,10.45,63.21,6.6
2021,AA,American Airlines Inc.,728229,123386,47433,5183,30679,767,39324,16404,2079,9190991,3775609,527054,1412279,35044,3441005,16.94,74.49,12.62
2022,AA,American Airlines Inc.,203616,34849,12775,1018,10431,167,10459,9036,384,2482456,1066009,113901,430380,6678,865488,17.12,71.23,12.19
2012,DL,Delta Air Lines Inc.,616787,80382,24888,1931,29606,28,23929,3242,1114,4500411,1717134,154189,1185775,1567,1441746,13.03,55.99,7.3
2013,DL,Delta Air Lines Inc.,751224,112682,37419,3436,41364,74,30388,2430,1332,6613140,2681013,332946,1743998,7758,1847425,15.0,58.69,8.8
2014,DL,Delta Air Lines Inc.,796207,121828,39173,5393,43924,42,33297,6471,1369,6930890,2680103,492902,1823252,3556,1931077,15.3,56.89,8.7
2015,DL,Delta Air Lines Inc.,871543,117397,38300,6259,39382,49,33407,3799,1772,7196480,2693234,597091,1769986,3769,2132400,13.47,61.3,8.26
2016,DL,Delta Air Lines Inc.,918382,118414,40547,4990,38900,93,33884,4103,1733,8131248,3351074,488155,1854695,5782,2431542,12.89,68.67,8.85
2017,DL,Delta Air Lines Inc.,919971,123588,40304,6373,42558,120,34233,8853,1803,8746671,3268116,725212,2301699,8220,2443424,13.43,70.77,9.51
2018,DL,Delta Air Lines Inc.,946433,129741,39313,6867,47146,102,36314,3522,1913,8485066,2903504,727294,2326589,5870,2521809,13.71,65.4,8.97
2019,DL,Delta Air Lines Inc.,988786,142565,44406,5315,52390,131,40323,1838,2114,9747816,3479914,659228,2709864,8800,2890010,14.42,68.37,9.86
2020,DL,Delta Air Lines Inc.,578598,49718,17773,1571,20385,136,9852,28637,810,2953539,1363527,170468,743788,7544,667703,8.59,59.41,5.1
2021,DL,Delta Air Lines Inc.,743873,85363,36988,3184,25946,374,18870,3617,1314,5642672,2946328,351944,1031299,23463,1289638,11.48,66.1,7.59
2022,DL,Delta Air Lines Inc.,206171,31598,13174,1122,9021,44,8237,3554,354,2152694,1070288,121369,380255,2525,578257,15.33,68.13,10.44
2012,F9,Frontier Airlines Inc.,66808,14107,3985,144,5884,0,4093,186,105,647288,180527,11141,221294,0,234326,21.12,45.88,9.69
2013,F9,Frontier Airlines Inc.,75612,19950,4360,260,9402,0,5928,283,119,1118193,229551,19914,446957,0,421771,26.38,56.05,14.79
2014,F9,Frontier Airlines Inc.,85474,21654,3977,233,11082,0,6361,357,149,1327023,254513,20749,533348,0,518413,25.33,61.28,15.53
2015,F9,Frontier Airlines Inc.,90836,23570,5160,229,11228,0,6954,588,158,1583839,346950,21616,581234,0,634039,25.95,67.2,17.44
2016,F9,Frontier Airlines Inc.,95121,21484,5514,277,8383,0,7310,1179,150,1521172,373745,26202,420193,0,701032,22.59,70.8,15.99
2017,F9,Frontier Airlines Inc.,102600,21089,5385,233,7750,0,7720,936,152,1442443,339284,18295,371889,0,712781,20.55,68.4,14.06
2018,F9,Frontier Airlines Inc.,118805,33742,9676,309,9864,0,13893,2312,182,2472852,683494,24240,466745,0,1298373,28.4,73.29,20.81
2019,F9,Frontier Airlines Inc.,134068,33510,9263,472,11123,0,12652,2266,197,2299617,606428,34993,564413,0,1093783,24.99,68.62,17.15
2020,F9,Frontier Airlines Inc.,89718,9774,3066,159,3789,0,2760,4623,66,564462,186288,10286,156530,0,211358,10.89,57.75,6.29
2021,F9,Frontier Airlines Inc.,134680,29315,9315,655,10074,0,9270,1903,177,1991363,639920,61445,501672,0,788306,21.77,67.93,14.79
2022,F9,Frontier Airlines Inc.,35304,10739,3617,173,3300,0,3648,1577,58,773506,267511,14767,172627,0,318601,30.42,72.03,21.91
2012,HA,Hawaiian Airlines Inc.,62623,3923,2556,17,40,17,1293,57,29,182767,130085,782,3370,385,48145,6.26,46.59,2.92
2013,HA,Hawaiian Airlines Inc.,72180,4682,2948,67,89,10,1569,68,49,222028,157334,3087,3893,778,56936,6.49,47.42,3.08
2014,HA,Hawaiian Airlines Inc.,74620,5804,3472,73,256,6,1997,158,77,245325,159611,5315,8846,289,71264,7.78,42.27,3.29
2015,HA,Hawaiian Airlines Inc.,76156,8601,4664,305,207,13,3412,171,60,339854,195084,11429,6241,401,126699,11.29,39.51,4.46
2016,HA,Hawaiian Airlines Inc.,76668,6634,3679,259,193,29,2474,118,83,272107,167593,10633,7638,800,85443,8.65,41.02,3.55
2017,HA,Hawaiian Airlines Inc.,80053,9118,5004,354,253,21,3486,230,81,387114,218169,15261,7729,653,145302,11.39,42.46,4.84
2018,HA,Hawaiian Airlines Inc.,83601,8603,5409,269,230,40,2655,250,97,383052,247856,13412,8675,1362,111747,10.29,44.53,4.58
2019,HA,Hawaiian Airlines Inc.,83771,9545,6102,364,197,95,2787,137,65,384356,246895,14083,5597,5202,112579,11.39,40.27,4.59
2020,HA,Hawaiian Airlines Inc.,40388,2679,1950,60,24,15,631,2141,34,117780,79577,4527,1272,448,31956,6.63,43.96,2.92
2021,HA,Hawaiian Airlines Inc.,60536,5656,3876,131,60,35,1554,264,41,248481,176241,10289,2110,1278,58563,9.34,43.93,4.1
2022,HA,Hawaiian Airlines Inc.,16856,2585,1644,76,15,19,830,252,20,126438,72813,6843,1380,622,44780,15.34,48.91,7.5
2012,B6,JetBlue Airways,182324,36841,11840,685,11518,104,12694,2243,381,2351467,767424,72102,573016,3910,935015,20.21,63.83,12.9
2013,B6,JetBlue Airways,227089,55688,15957,733,19503,193,19302,1941,586,3412453,992929,66825,966840,9328,1376531,24.52,61.28,15.03
2014,B6,JetBlue Airways,234969,51408,14603,1167,18912,174,16552,5866,667,3055923,872462,132040,907813,7411,1136197,21.88,59.44,13.01
2015,B6,JetBlue Airways,252791,56105,17078,1158,18646,199,19024,4161,703,3444861,1000036,110048,968082,10099,1356596,22.19,61.4,13.63
2016,B6,JetBlue Airways,268193,62918,20366,1211,18968,237,22136,3685,642,4063638,1222063,133712,995263,11660,1700940,23.46,64.59,15.15
2017,B6,JetBlue Airways,286445,73437,21895,1158,23043,197,27144,7526,723,5332754,1489219,120801,1444753,11197,2266784,25.64,72.62,18.62
2018,B6,JetBlue Airways,292565,77788,25073,1300,23552,176,27686,6297,814,5379038,1714631,136945,1296756,8086,2222620,26.59,69.15,18.39
2019,B6,JetBlue Airways,284080,70466,23345,1169,20642,127,25183,3656,903,5765937,1935784,146395,1322704,6201,2354853,24.8,81.83,20.3
2020,B6,JetBlue Airways,136441,16180,6238,306,5463,40,4134,7665,298,981949,437067,27121,216086,1662,300013,11.86,60.69,7.2
2021,B6,JetBlue Airways,192010,48804,21636,1030,12478,392,13268,3168,800,3526417,1599460,121826,583505,20815,1200811,25.42,72.26,18.37
2022,B6,JetBlue Airways,62105,19098,8264,291,4443,89,6011,3683,222,1569093,703988,40489,236927,5087,582602,30.75,82.16,25.27
2012,OO,SkyWest Airlines Inc.,522573,87045,20149,1215,23892,95,41694,8951,1003,4833080,1181160,87647,1078314,4083,2481876,16.66,55.52,9.25
2013,OO,SkyWest Airlines Inc.,626359,111864,26081,2232,31791,156,51604,13926,1611,6517526,1694065,182183,1450952,8047,3182279,17.86,58.26,10.41
2014,OO,SkyWest Airlines Inc.,613030,125024,29934,2128,36176,193,56593,18308,1648,7236415,1991706,184342,1582523,7489,3470355,20.39,57.88,11.8
