airport_code,airport_name,city_name,state_code,region_name,total_flights,total_delays,total_delayed_min,pct_delayed,avg_delayed_min
DRT,Del Rio International,Del Rio,TX,South,2636,313,32670,11.87,104.38
LBL,Liberal Mid-America Regional,Liberal,KS,South,2545,361,57760,14.18,160
MAF,Midland International Air and Space Port,Midland/Odessa,TX,South,80158,15891,1820326,19.82,114.55
BUF,Buffalo Niagara International,Buffalo,NY,Northeast,198562,38464,4698700,19.37,122.16
CRP,Corpus Christi International,Corpus Christi,TX,South,50339,10170,1124224,20.2,110.54
DAL,Dallas Love Field,Dallas,TX,South,608358,110733,11292910,18.2,101.98
DLH,Duluth International,Duluth,MN,Upper Midwest,24523,3971,561064,16.19,141.29
GCC,Gillette Campbell County,Gillette,WY,Northern Rockies and Plains,10729,1625,198194,15.15,121.97
SWF,New York Stewart International,Newburgh/Poughkeepsie,NY,Northeast,11376,2607,357708,22.92,137.21
RST,Rochester International,Rochester,MN,Upper Midwest,22844,3985,521868,17.44,130.96
SLN,Salina Regional,Salina,KS,South,3129,589,120018,18.82,203.77
MQT,Sawyer International,Marquette,MI,Upper Midwest,9377,1817,343872,19.38,189.25
CAK,Akron-Canton Regional,Akron,OH,Ohio Valley,59725,12326,1639896,20.64,133.04
ACY,Atlantic City International,Atlantic City,NJ,Northeast,23757,4705,653154,19.8,138.82
SAV,Savannah/Hilton Head International,Savannah,GA,Southeast,116347,21180,2645006,18.2,124.88
TBN,Waynesville-St. Robert Regional Forney Field,Fort Leonard Wood,MO,Ohio Valley,283,26,4534,9.19,174.38
AEX,Alexandria International,Alexandria,LA,South,30695,5313,622920,17.31,117.24
EGE,Eagle County Regional,Eagle,CO,Southwest,18893,3996,630250,21.15,157.72
OME,Nome Airport,Nome,AK,Alaska,7367,966,81930,13.11,84.81
CMI,University of Illinois/Willard,Champaign/Urbana,IL,Ohio Valley,17672,3891,478652,22.02,123.02
ALW,Walla Walla Regional,Walla Walla,WA,Northwest,939,108,9476,11.5,87.74
SPI,Abraham Lincoln Capital,Springfield,IL,Ohio Valley,15660,3002,374762,19.17,124.84
OAJ,Albert J Ellis,Jacksonville/Camp Lejeune,NC,Southeast,19960,3464,426086,17.35,123
FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,Southeast,26217,4304,503518,16.42,116.99
GCK,Garden City Regional,Garden City,KS,South,6354,982,114650,15.45,116.75
JST,John Murtha Johnstown-Cambria County,Johnstown,PA,Northeast,905,121,27020,13.37,223.31
LWS,Lewiston Nez Perce County,Lewiston,ID,Northwest,7675,498,60126,6.49,120.73
ISP,Long Island MacArthur,Islip,NY,Northeast,50424,11043,1329108,21.9,120.36
HIB,Range Regional,Hibbing,MN,Upper Midwest,6829,686,113652,10.05,165.67
TYR,Tyler Pounds Regional,Tyler,TX,South,16220,2666,289356,16.44,108.54
LAN,Capital Region International,Lansing,MI,Upper Midwest,24938,4562,612492,18.29,134.26
CYS,Cheyenne Regional/Jerry Olson Field,Cheyenne,WY,Northern Rockies and Plains,1071,132,28294,12.32,214.35
ITH,Ithaca Tompkins Regional,Ithaca/Cortland,NY,Northeast,5909,877,124740,14.84,142.23
JMS,Jamestown Regional,Jamestown,ND,Northern Rockies and Plains,7519,1046,205576,13.91,196.54
IFP,Laughlin/Bullhead International,Bullhead City,AZ,Southwest,364,67,7926,18.41,118.3
MFE,McAllen Miller International,Mission/McAllen/Edinburg,TX,South,38589,8096,1016212,20.98,125.52
MLB,Melbourne International,Melbourne,FL,Southeast,18820,2619,279586,13.92,106.75
BFM,Mobile Downtown,Mobile,AL,Southeast,204,44,5332,21.57,121.18
MRY,Monterey Regional,Monterey,CA,West,38942,7078,905058,18.18,127.87
PSG,Petersburg James A Johnson,Petersburg,AK,Alaska,7319,1186,129502,16.2,109.19
PUB,Pueblo Memorial,Pueblo,CO,Southwest,4136,646,124654,15.62,192.96
ANC,Ted Stevens Anchorage International,Anchorage,AK,Alaska,175301,28053,2557890,16,91.18
EWN,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,Southeast,12314,2285,264278,18.56,115.66
BGM,Greater Binghamton/Edwin A. Link Field,Binghamton,NY,Northeast,5753,924,134738,16.06,145.82
