year,airport_code,airport_name,total_flights,total_delays,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,total_delayed_min,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,pct_delayed,avg_delayed_min,avg_delayed_flight
2012,ABR,Aberdeen Regional,612,39,15,1,12,0,12,7,1,1556,740,9,273,0,534,6.37,39.9,2.54
2013,ABR,Aberdeen Regional,746,90,35,2,31,0,21,19,1,4345,1927,133,860,0,1425,12.06,48.28,5.82
2014,ABR,Aberdeen Regional,751,81,34,0,25,0,22,15,1,3768,1710,0,746,0,1312,10.79,46.52,5.02
2015,ABR,Aberdeen Regional,742,85,34,5,16,0,31,9,5,3836,1510,405,577,0,1344,11.46,45.13,5.17
2016,ABR,Aberdeen Regional,743,69,22,3,17,0,27,7,1,5609,2392,691,616,0,1910,9.29,81.29,7.55
2017,ABR,Aberdeen Regional,728,59,21,5,12,0,21,8,1,6577,2676,1972,454,0,1475,8.1,111.47,9.03
2018,ABR,Aberdeen Regional,745,86,21,7,30,0,27,9,2,9705,2683,3640,1552,0,1830,11.54,112.85,13.03
2019,ABR,Aberdeen Regional,751,86,26,10,25,0,25,19,5,11001,4792,1905,873,0,3431,11.45,127.92,14.65
2020,ABR,Aberdeen Regional,707,53,37,8,7,0,1,26,2,4018,2854,940,169,0,55,7.5,75.81,5.68
2021,ABR,Aberdeen Regional,750,71,55,16,0,0,0,4,4,6480,4746,1734,0,0,0,9.47,91.27,8.64
2022,ABR,Aberdeen Regional,180,37,23,14,0,0,0,3,1,3108,1646,1462,0,0,0,20.56,84.0,17.27
2012,ABI,Abilene Regional,2046,354,138,49,61,0,107,34,0,19600,6208,4353,2391,0,6648,17.3,55.37,9.58
2013,ABI,Abilene Regional,2753,601,211,77,89,0,223,90,3,32320,9179,6012,3802,0,13327,21.83,53.78,11.74
2014,ABI,Abilene Regional,2833,653,219,69,121,7,237,118,3,33330,10122,5040,4717,219,13232,23.05,51.04,11.76
2015,ABI,Abilene Regional,2528,442,147,72,72,3,148,107,3,23506,6426,5671,3199,133,8077,17.48,53.18,9.3
2016,ABI,Abilene Regional,161,33,15,0,10,0,8,3,0,1647,578,0,351,0,718,20.5,49.91,10.23
2017,ABI,Abilene Regional,41,11,6,0,2,0,3,1,0,1116,622,0,83,0,411,26.83,101.45,27.22
2018,ABI,Abilene Regional,2022,351,90,37,72,0,152,43,2,19716,4285,2952,2958,14,9507,17.36,56.17,9.75
2019,ABI,Abilene Regional,2272,418,117,23,125,1,153,39,6,21369,6048,1306,4945,17,9053,18.4,51.12,9.41
2020,ABI,Abilene Regional,1732,174,58,13,48,0,56,64,2,10173,2732,1270,2765,0,3406,10.05,58.47,5.87
2021,ABI,Abilene Regional,2388,300,115,29,69,0,88,66,3,22295,9936,4285,3025,0,5049,12.56,74.32,9.34
2022,ABI,Abilene Regional,431,55,25,4,15,1,10,24,0,2760,1177,431,572,33,547,12.76,50.18,6.4
2012,SPI,Abraham Lincoln Capital,1660,243,85,9,47,1,102,22,2,12618,4289,798,1776,15,5740,14.64,51.93,7.6
2013,SPI,Abraham Lincoln Capital,1856,372,120,17,65,0,170,96,2,20130,7050,1065,2549,0,9466,20.04,54.11,10.85
2014,SPI,Abraham Lincoln Capital,1778,468,124,18,85,2,241,126,4,25642,6868,1421,3267,73,14013,26.32,54.79,14.42
2015,SPI,Abraham Lincoln Capital,1736,379,131,22,71,1,154,66,3,22402,8415,1754,2701,48,9484,21.83,59.11,12.9
2016,SPI,Abraham Lincoln Capital,1739,318,112,6,68,0,132,44,10,18624,7540,262,2363,0,8459,18.29,58.57,10.71
2017,SPI,Abraham Lincoln Capital,1145,194,83,8,41,0,62,23,2,15313,7753,508,2406,0,4646,16.94,78.93,13.37
2018,SPI,Abraham Lincoln Capital,1812,361,108,17,82,2,152,44,6,24292,7314,1944,4127,71,10836,19.92,67.29,13.41
2019,SPI,Abraham Lincoln Capital,1798,410,119,22,106,1,163,59,6,30603,12555,2375,4383,40,11250,22.8,74.64,17.02
2020,SPI,Abraham Lincoln Capital,1038,100,41,11,22,0,25,48,7,8708,4893,1356,809,0,1650,9.63,87.08,8.39
2021,SPI,Abraham Lincoln Capital,859,107,35,9,32,1,30,25,4,6892,2793,957,1277,10,1855,12.46,64.41,8.02
2022,SPI,Abraham Lincoln Capital,239,43,17,2,7,0,17,17,0,2157,891,85,238,0,943,17.99,50.16,9.03
2012,ADK,Adak,88,17,5,0,4,0,8,2,0,1085,511,0,152,1,421,19.32,63.82,12.33
2013,ADK,Adak,104,13,3,1,6,0,3,6,0,480,190,36,145,0,109,12.5,36.92,4.62
2014,ADK,Adak,104,13,6,1,2,1,3,5,0,617,329,60,44,31,153,12.5,47.46,5.93
2015,ADK,Adak,105,13,0,0,8,0,5,7,0,471,0,0,187,0,284,12.38,36.23,4.49
2016,ADK,Adak,104,14,5,0,5,0,4,3,0,506,177,0,152,0,177,13.46,36.14,4.87
2017,ADK,Adak,104,9,2,0,4,0,3,6,0,332,89,0,157,0,86,8.65,36.89,3.19
2018,ADK,Adak,104,16,4,1,8,0,3,3,0,631,209,56,230,0,136,15.38,39.44,6.07
2019,ADK,Adak,104,9,6,0,1,0,3,6,0,602,395,0,30,0,177,8.65,66.89,5.79
2020,ADK,Adak,105,47,4,3,18,3,19,10,1,1951,280,195,648,88,740,44.76,41.51,18.58
2021,ADK,Adak,104,27,6,2,11,0,8,10,1,1051,240,87,337,14,373,25.96,38.93,10.11
2022,ADK,Adak,26,5,0,1,2,0,2,2,0,255,0,54,96,0,105,19.23,51.0,9.81
2012,CAK,Akron-Canton Regional,6848,1153,354,12,268,0,518,68,12,64726,20018,723,10433,0,33552,16.84,56.14,9.45
2013,CAK,Akron-Canton Regional,9018,1998,660,40,402,1,895,122,15,114743,35587,2935,16427,20,59774,22.16,57.43,12.72
2014,CAK,Akron-Canton Regional,6824,1439,414,26,246,1,752,152,15,91761,25150,1897,10718,20,53976,21.09,63.77,13.45
2015,CAK,Akron-Canton Regional,6588,1155,342,35,190,1,587,102,11,73531,20622,4467,7947,64,40431,17.53,63.66,11.16
2016,CAK,Akron-Canton Regional,5316,870,298,30,188,1,354,92,10,51010,19121,2745,7395,31,21718,16.37,58.63,9.6
2017,CAK,Akron-Canton Regional,5821,1141,378,31,276,4,452,105,11,79990,32090,3307,11654,230,32709,19.6,70.11,13.74
2018,CAK,Akron-Canton Regional,7510,1931,604,104,420,3,800,234,8,139107,41825,10444,21011,148,65679,25.71,72.04,18.52
2019,CAK,Akron-Canton Regional,6317,1581,487,72,317,0,704,198,19,130382,42784,9174,15415,20,62989,25.03,82.47,20.64
2020,CAK,Akron-Canton Regional,2655,469,174,14,99,0,182,122,1,37703,13528,2422,4087,8,17658,17.66,80.39,14.2
2021,CAK,Akron-Canton Regional,2308,427,142,22,111,7,146,22,1,26592,8492,1746,3526,209,12619,18.5,62.28,11.52
2022,CAK,Akron-Canton Regional,520,141,56,3,32,3,48,22,1,10403,4338,252,1719,87,4007,27.12,73.78,20.01
2012,ALB,Albany International,8196,1814,743,37,301,1,733,127,10,99628,39327,3934,13849,70,42448,22.13,54.92,12.16
2013,ALB,Albany International,10721,2475,1040,63,459,3,909,159,11,130205,55277,4117,19289,64,51458,23.09,52.61,12.14
2014,ALB,Albany International,7993,1996,846,52,307,3,788,192,18,112429,44553,4071,13104,112,50589,24.97,56.33,14.07
2015,ALB,Albany International,8193,1610,664,54,293,3,596,111,8,88631,33858,4795,11116,122,38740,19.65,55.05,10.82
2016,ALB,Albany International,9345,1530,662,68,275,4,521,72,14,87644,37271,5633,11288,154,33298,16.37,57.28,9.38
2017,ALB,Albany International,9401,1639,656,61,293,4,625,125,8,94940,38388,4865,12989,134,38564,17.43,57.93,10.1
2018,ALB,Albany International,12359,2490,919,102,524,7,938,249,14,148335,52383,10112,22728,346,62766,20.15,59.57,12.0
2019,ALB,Albany International,12567,2446,947,102,475,7,915,239,20,155397,59663,12323,21532,388,61491,19.46,63.53,12.37
2020,ALB,Albany International,7581,696,300,38,168,1,189,670,14,37811,16942,3291,5655,16,11907,9.18,54.33,4.99
2021,ALB,Albany International,8516,1731,842,75,292,6,516,98,26,105179,48798,9007,12590,503,34281,20.33,60.76,12.35
2022,ALB,Albany International,2604,673,323,29,109,5,207,157,9,43847,19886,4229,4243,220,15269,25.84,65.15,16.84
2012,OAJ,Albert J Ellis,1440,246,117,3,38,0,88,5,8,13783,7122,165,1714,0,4782,17.08,56.03,9.57
2013,OAJ,Albert J Ellis,1821,357,145,9,67,1,136,14,5,19901,8391,562,3030,15,7903,19.6,55.75,10.93
2014,OAJ,Albert J Ellis,1402,306,137,3,44,1,121,39,5,17456,8231,214,1834,34,7143,21.83,57.05,12.45
2015,OAJ,Albert J Ellis,1248,248,144,0,38,0,66,12,4,15074,9582,0,1517,0,3975,19.87,60.78,12.08
2016,OAJ,Albert J Ellis,1271,217,121,0,28,0,67,20,8,14396,9574,0,975,0,3847,17.07,66.34,11.33
